token,frequency
hạ tầng,7
nhiễm,7
công việc,7
cạn,7
bầu cử,7
giống,7
đất đai,7
thi đua,7
thanh niên,7
thực hành,7
tiếp tục,7
vận hành,7
mở,7
bao gồm,7
vui chơi,7
bỏ,7
điều lệ,7
bưu chính,7
giảm,7
phiếu,7
tạm thời,7
thu nhập,7
thiết lập,7
tài nguyên,7
xin,7
y khoa,7
vừa,7
kết hôn,7
vùng,7
huấn luyện,7
khẩn cấp,7
chuyển quyền,6
ma túy,6
thú y,6
vận chuyển,6
sót,6
hóa chất,6
thăng,6
năng lực,6
cổ truyền,6
bảo đảm,6
đoàn,6
sáng tạo,6
ít,6
trưởng,6
cng,6
dừng,6
hoàn thành,6
chất độc,6
sinh hoạt,6
chính phủ,6
lng,6
thế chấp,6
sai,6
nghiệm thu,6
chi tiết,6
lĩnh vực,6
chai,6
chính sách,6
vợ,6
xuất khẩu,6
bức xạ,6
liên vận,6
bảo hiểm,6
bằng khen,6
nhỏ,6
kiểm soát,6
tổng hợp,6
tác phẩm,6
khai tử,6
mai táng,6
sửa chữa,6
công vụ,6
mã số,6
giáo viên,6
đại lý,6
hóa học,6
lợi nhuận,6
khởi nghiệp,6
kiến trúc,6
quy hoạch,6
phân hiệu,6
di sản,6
cai nghiện,6
thông báo danh mục,6
phương pháp,6
dân cư,6
chức sắc,6
thanh lý,6
thanh toán,6
nhận chìm,5
nhằm,5
đợt,5
bản chính,5
tăng,5
lâm,5
di chuyển,5
nâng,5
định cư,5
công cộng,5
lực lượng,5
chuyên đề,5
ngang,5
quy trình,5
cố định,5
tranh chấp,5
luồng,5
đề án,5
hạn chế,5
tiên tiến,5
cũ,5
sống,5
tòa án,5
cổ đông,5
mang,5
cơ cấu,5
kết cấu hạ tầng,5
chồng,5
thanh lý tài sản,5
nối,5
điều trị,5
phù hợp,5
công an,5
xét nghiệm,5
phát hiện,5
lưu động,5
đội,5
nghỉ,5
tương đương,5
thiên tai,5
đề xuất,5
bệnh nghề nghiệp,5
lương y,5
kết luận,5
lễ hội,5
giải viên,5
thành công ty,5
cải tạo,5
công tác,5
mặt,5
khoan,5
kỹ năng,5
chung,5
sư phạm,5
thôi,5
ban hành,5
nghĩa vụ,5
tập thể,5
nhân viên,5
giám hộ,5
di tích,5
tin học,5
đo đạc,5
duy trì,5
biện pháp,5
đầu tư cấp,5
xử lý tài sản,5
khả thi,5
bản đồ,5
ngoại ngữ,5
kiểm định,5
anh hùng,5
thông số,5
hoạt động cơ sở,5
chăn nuôi,5
neo,4
tuổi,4
dấu,4
cổ vật,4
hủy bỏ,4
y học,4
tài liệu,4
siêu,4
gặp,4
xả,4
vết thương,4
bảo tàng,4
nút,4
đồng ý,4
giải trình,4
ppp,4
dạy,4
này,4
kiểm dịch,4
thuộc địa bàn,4
danh dự,4
sinh viên,4
. xóa,4
thiết yếu,4
công ích,4
lô,4
loài,4
biến động,4
cuộc,4
thuộc địa phương,4
điện áp,4
tu bổ,4
chữ ký,4
tặng thưởng,4
trang thiết bị,4
quầy,4
hội chợ,4
lớn,4
khuyến mại,4
nguồn gốc,4
số lượng,4
quá trình,4
đúng,4
bcc,4
công chức,4
bảo vật,4
quốc tịch,4
cam kết,4
điều hành,4
chính trị,4
phát điện,4
triển khai,4
sai sót,4
thờ cúng,4
nghệ thuật,4
màu,4
chết,4
lao động tiên tiến,4
quân đội,4
dân tộc thiểu số,4
hiến chương,4
cao tốc,4
cơ giới,4
độc lập,4
photocopy,4
tủ thuốc,4
chính thức,4
sông,4
vay,4
khỏi,4
thể dục,4
thi đấu,4
ảnh hưởng,4
tai nạn,4
dược liệu,4
công chứng viên,4
chữ thập đỏ,4
khai báo,4
lấp,4
đình chỉ,4
bản án,4
hoàn cảnh,4
văn bằng,4
hình thành,4
lấy,4
mỹ thuật,4
vệ sinh,4
cơ quan chuyên môn,4
đậu,4
đề tài,4
nước sạch,4
cờ,4
kcn,4
ký nhận,4
ngắn hạn,4
phụ lục,4
bệnh nhân đạo,4
tỷ lệ,4
đăng ký nhận,4
nhà thuốc,4
dạng,4
thuyên chuyển,3
kw,3
khả năng,3
hiệu lực,3
dữ liệu,3
mai táng phí,3
công suất,3
di dời,3
thị trấn,3
lâu năm,3
huy chương,3
tổn thương,3
dự báo,3
toàn bộ,3
địch,3
tổ hợp tác,3
trích lục,3
điện ảnh,3
đăng ký kết hôn,3
thủ công,3
bản công bố,3
cách chức,3
hiệu đính,3
nghèo,3
khảo sát,3
quốc phòng,3
vật tư,3
cảnh báo,3
bảo trợ,3
g1,3
tính mạng,3
chịu,3
bên,3
kéo,3
du học,3
cận,3
lâu,3
tận thu,3
phụ trách,3
trại,3
giải thưởng,3
tthc,3
khẳng định,3
tuyển chọn,3
bị thương,3
cập nhật,3
ổn định,3
nhà tu hành,3
quận,3
kề,3
huân chương,3
thông thường,3
thuế,3
uỷ ban nhân dân,3
miễn giảm,3
lãnh đạo,3
thị xã,3
đại hội,3
lít,3
nguy cấp,3
hài cốt,3
thời kỳ,3
tham dự,3
trần,3
khu công nghiệp,3
quý,3
dương tính,3
nước thải,3
mô tô,3
bắt,3
chỉ định,3
trường hợp doanh nghiệp,3
phòng khám,3
hiv,3
bởi,3
thư ký,3
thức ăn,3
giao đấu,3
hoang dã,3
thân thích,3
con đẻ,3
điều dưỡng,3
tác động,3
phường,3
mảnh,3
dinh dưỡng,3
khóa,3
cao đẳng,3
xem,3
tốt nghiệp,3
tái phát,3
ngoại giao,3
kiến thức,3
phúc,3
phân bón,3
ban đầu,3
oda,3
lý lịch,3
phân chia,3
tổng công ty,3
thuyền viên,3
hiếm,3
thường trú,3
bồn,3
quyên góp,3
giảng đạo,3
tổ quốc,3
bất động sản,3
biểu diễn,3
khí tượng,3
giám định viên,3
thửa,3
giải phóng,3
triệu,3
quyền sở hữu tài sản,3
viện trợ,3
đăng cai,3
đặc cách,3
hoàn lại,3
những,3
cần,3
kết hợp,3
quy chuẩn,3
tiêm,3
sơ cấp cứu,3
bài,3
nhiếp ảnh,3
thủy văn,3
chiến tranh,2
phòng chống,2
hiệu trưởng,2
thù lao,2
mw,2
đối ứng,2
thương tật,2
đánh rơi,2
xung kích,2
siêu trường,2
giấu,2
môi giới,2
lực lượng vũ trang,2
an táng,2
mua sắm,2
phà,2
biểu mẫu,2
hội đồng quản trị,2
thêm,2
làm chủ sở hữu,2
lặn,2
tên gọi,2
màu sắc,2
phổ cập,2
phân loại,2
hoà xá,2
giờ,2
dự toán,2
đặt hàng,2
g3,2
tư cách,2
phụ cấp,2
pháp lệnh,2
chung cư,2
tiếng,2
tuyển sinh,2
hành lý,2
cờ hiệu,2
cải chính,2
ăn uống,2
đầu cơ quan,2
chủ sở hữu tài sản,2
ent,2
tình hình,2
xếp hạng,2
quên,2
vùi,2
nổ mìn,2
gia dụng,2
đơn lẻ,2
thủ tướng,2
xe gắn máy,2
điều chuyển,2
tự nhiên,2
xác minh,2
cây xanh,2
miễn nhiệm,2
tương lai,2
gia truyền,2
khuẩn,2
dựa,2
quan sát,2
hưu,2
tập đoàn,2
nghiệp vụ,2
phổ biến,2
ứng phó,2
tiềm ẩn,2
mời,2
hải đảo,2
diệt,2
niêm yết,2
tiện lợi,2
mục tiêu,2
vỏ,2
điểm chỉ,2
gửi,2
tín hiệu,2
nằm,2
chìm đắm,2
cải hoán,2
bản thân,2
an ninh,2
gđyk,2
tài chính,2
vũ trường,2
bệnh binh,2
tuất,2
nội trú,2
gỗ,2
sửa lỗi,2
lắp,2
nước biển,2
hòa nhập,2
làng nghề,2
lưỡi,2
tính năng,2
attp,2
khách quan,2
phù hiệu,2
san lấp,2
thị trường,2
hủy hoại,2
thử nghiệm,2
mặt bằng,2
thô sơ,2
cộng tác viên,2
can thiệp,2
vệ tinh,2
sát hạch,2
hằng,2
sáng tác,2
nhân văn,2
thương lượng,2
chặt hạ,2
truyền thống,2
ngầm,2
định lượng,2
bằng chứng,2
chuyên gia,2
nhân lực,2
mini,2
dịch chuyển,2
35 kv,2
nguy cơ,2
đất liền,2
hàng hải,2
g4,2
tù,2
văn minh,2
rút,2
giúp đỡ,2
công chứng nhận,2
bố trí,2
chở,2
liên đoàn,2
ý kiến,2
nghĩa trang,2
đền bù,2
quyển,2
vật thể,2
thời điểm,2
địa chất,2
hiệp định,2
thuốc nổ,2
muối,2
sơ mi,2
phim,2
xét duyệt,2
chỉnh hình,2
tuyên truyền viên,2
máy in,2
công-ten-nơ,2
người đẹp,2
may rủi,2
học phí,2
điều khiển,2
karaoke,2
xác thực,2
xem xét,2
xuất xứ,2
mù chữ,2
chú,2
trang trại,2
thường niên,2
siêu thị,2
lưu trữ,2
năng khiếu,2
văn hoá,2
taxi,2
bãi nhiệm,2
công nghệ cao,2
học bổng,2
câu lạc bộ,2
nhuyễn thể,2
họp báo,2
bổ túc,2
giao kết,2
nhiên liệu,2
dịch thuật,2
theo dõi,2
đăng ký kết quả,2
bến xe khách,2
xe buýt,2
phơi,2
đối ngoại,2
đính chính,2
siêu trọng,2
phân bổ,2
nguyện vọng,2
thần,2
con người,2
súng,2
xác lập,2
xảy,2
rất,2
đày,2
dễ,2
nhà máy,2
gia công,2
di vật,2
g2,2
phát hành,2
nhà thầu,2
thu hoạch,2
bãi tập kết,2
cơ thể,2
pháp nhân,2
hội nghị,2
lựa chọn,2
sinh học,2
đồ án,2
phao,2
một số,2
khen thưởng,2
chính xác,2
rà soát,2
phát sinh,2
dân lập,2
chôn,2
rơ moóc,2
dụng cụ,2
khôi phục,2
bỏ quên,2
chế phẩm,2
gọi,2
giây,2
cụm,2
trận,2
đánh dấu,2
chuỗi,2
người mẫu,2
truyền hình,2
chế biến,2
biên bản,2
tiêm chủng,2
côn trùng,2
công ước,2
bản tin,2
lợi ích,2
ly hôn,1
vật phẩm,1
trung gian,1
bất thường,1
gạo,1
ưu tiên,1
xóm,1
khoáng sản vật liệu,1
internet,1
hội đồng bộ trưởng,1
lao động đào tạo,1
thép,1
nghiêm ngặt,1
bơi,1
khuôn viên,1
khxh,1
nữ,1
hoàn trả,1
đa khoa,1
sơ tuyển,1
nhân sự,1
giám sát,1
vinh dự,1
dòng,1
bảo lưu,1
thất lạc,1
bày,1
trung quốc,1
cơ quan hành chính,1
tổ trưởng,1
bt,1
sỹ,1
dược chất,1
giường bệnh,1
suy giảm,1
đa dạng sinh học,1
atvstp03,1
cháu,1
chất thải,1
cha dượng,1
lưu giữ,1
hộ khẩu,1
nhựa,1
nhờ,1
luồng lạch,1
tiền tuất,1
hưu trí,1
cites,1
cơ sở vật chất,1
viễn thông,1
khuôn khổ,1
mỡ,1
vườn,1
chuyên khoa,1
nội quy,1
bè,1
dự kiến,1
lưu trú,1
cảo,1
dệt may,1
từng,1
vô địch,1
sưu tầm,1
judo,1
di động,1
cây trồng,1
nội đồng,1
mỏ,1
lồng,1
vận động,1
bác,1
chung quy định,1
thực tập,1
xâm hại,1
khuyến khích,1
thầm,1
đứng,1
biệt thự,1
bệnh viện,1
lân,1
sạt lở,1
di chúc,1
thủ trưởng,1
máy chủ,1
quyết định giá,1
quyền anh,1
loại hình thành,1
bay,1
bảng,1
giới thiệu,1
chỉ giới,1
qđ-bxd,1
đtm,1
không thể,1
phá sản,1
cchnd,1
nghe,1
công tư,1
thăm viếng,1
quan hệ,1
hội thảo,1
súng săn,1
chi trả,1
công cụ,1
kệ,1
tố cáo cấp,1
dì,1
giới hạn,1
ít nhất,1
hệ thống,1
nv,1
vô tính,1
cây công nghiệp,1
băng-rôn,1
căm –,1
tại ngũ,1
asean,1
trống,1
phim truyện,1
truy tặng,1
án tích,1
thừa kế,1
khoa học xã hội,1
phương thức,1
tạm ứng,1
tự do,1
đọc,1
tiêu hủy,1
sáng chế,1
trưng,1
chép,1
chưc,1
tổng số,1
quân dụng,1
mở rộng,1
ngạch,1
võ,1
tổng thể,1
ngƣời,1
wushu,1
kim khí,1
khối lượng,1
sxkd,1
quá tải trọng,1
bộ trưởng,1
tài trợ,1
tình huống,1
trường hợp giao,1
bóng đá,1
bảo tồn,1
hiện vật,1
liên doanh,1
sáng lập,1
độc giả,1
hàng hoá,1
gms,1
lúa,1
thành niên,1
trợ giá,1
văn hoá phẩm,1
khcn,1
bào chế,1
kênh,1
khách sạn,1
quay,1
công khai,1
diêm nghiệp,1
bánh,1
chứa,1
thoát,1
hôn nhân,1
snooker,1
tình trạng,1
cầu lông,1
thay thế thủ tục,1
căn hộ,1
ttbyt_03,1
con riêng,1
chứng thực tài liệu,1
ttbyt_02,1
tài viên,1
xuất cảnh,1
nộp,1
sáng kiến,1
vượt trội,1
lãnh tụ,1
thai,1
quần vợt,1
bôi trơn,1
gpmb,1
chạy,1
cát,1
công năng,1
mặt đất,1
vũ khí,1
núi,1
vovinam,1
ruột,1
lâm nghiệp,1
billiards,1
cắm mốc,1
tiêu thụ,1
cháy,1
hoãn,1
nặng,1
giải mã,1
buộc tội,1
thẩm mỹ,1
đấu kiếm,1
yoga,1
quá khổ,1
phiên hiệu,1
chủ quản,1
tần suất,1
tàu biển,1
patin,1
bố mẹ,1
dưỡng thai,1
đập,1
phúc khảo,1
khơi thông,1
chuẩn bị,1
nhà đất,1
cấp số,1
hy sinh,1
sức lao động,1
tiết kiệm,1
may mặc,1
nhập cảnh,1
quân sự,1
thí điểm,1
trung bình,1
mạng điện tử,1
bất khả kháng,1
dích,1
tìm,1
phục vụ việc,1
kéo dài,1
trao đổi,1
xe cơ giới,1
kê biên,1
tàu thủy,1
mẹ kế,1
ghi hình,1
trữ lượng,1
khung,1
nợ,1
mẫu vật,1
khai quật,1
xích,1
tổn hại,1
thấy,1
tai biến,1
thực địa,1
tưới,1
hiệu ứng,1
thể loại,1
ngẫu nhiên,1
cơ quan thuế,1
xuất sắc,1
hạ du,1
đối tác,1
lý do,1
phẫu thuật,1
tiêu huỷ,1
atvstp02,1
ngư nghiệp,1
nhân giống,1
tiền lương,1
vẫn,1
điêu khắc,1
bóc lột,1
huỷ hoại,1
nghỉ việc,1
từ chối,1
cfs,1
tác dụng,1
thuỷ lợi,1
phạm vi hành lang,1
taekwondo,1
xin phép,1
đầu tư sản xuất,1
đồ dùng,1
nhân thân,1
quyền sở hữu toàn dân,1
chứng khoán,1
khấu trừ,1
karate,1
quốc dân,1
nhìn,1
biên giới,1
lâm sản,1
ttbyt_01,1
chiến sĩ thi đua,1
miền,1
liên hoan,1
bóng rổ,1
thuốc phiện,1
công nhân,1
bắt buộc,1
tổ dân phố,1
quan trắc,1
hoàn thiện,1
trưa,1
chuyên nghiệp,1
nông lâm,1
tước,1
bắn,1
chủ lực,1
kết thúc,1
ươm,1
duy nhất,1
phụ thuộc,1
thể hình,1
lâp,1
mức sống,1
atvstp01,1
bỏ rơi,1
sxtn,1
nạo vét,1
quyết toán,1
bóng bàn,1
văn kiện,1
lao động-thương binh,1
toàn quốc,1
bóng ném,1
ứng dụng,1
phim tài liệu,1
xếp loại,1
phân cấp,1
trạm xá,1
tuc,1
gần,1
báo hiệu,1
cây ăn quả,1
an toàn lao động,1
rủi ro,1
trực tuyến,1
rừng,1
nghị quyết,1
đạo cụ,1
golf,1
nhà hộ sinh,1
nhiệm kỳ,1
tố tụng,1
diều,1
uỷ quyền,1
m2,1
hơn,1
khiêu vũ,1
sỏi,1
tỉnh thành phố,1
fitness,1
phối hợp,1
cựu chiến binh,1
nâng cấp,1
danh bạ,1
leo,1
chuyển tiếp,1
phim hoạt hình,1
cậu,1
tem,1
trở về,1
vũ đạo,1
sát nhập,1
tạp chí,1
hải lý,1
cách ly,1
tham vấn,1
danh nhân,1
81 %,0
"0,4 kv",0
