token,frequency
thăm dò,11
tàu,11
tự nguyện,11
hướng,11
giáo dục phổ thông,11
địa chỉ,11
tiểu học,11
khai sinh,11
trực tiếp,11
liên kết,10
campuchia,10
bồi dưỡng,10
trình độ,10
chức năng,10
liên quan,10
tnhh,10
ngừng,10
quốc lộ,10
chất lượng,10
chuyên ngành,10
vật liệu,10
gây,10
dầu,10
nguồn,10
giao dịch,10
gồm,10
nổ,10
trọng tài,10
trò chơi,10
thỏa thuận,10
thực phẩm,10
thi công,10
dịch bệnh,10
hợp pháp,10
danh hiệu,10
đồng thời,10
phương án,10
làm thuốc,9
lưu lượng,9
cửa,9
thư viện,9
thường xuyên,9
chi phí,9
buôn bán,9
hướng dẫn,9
tố cáo,9
so,9
mẹ,9
nghiện,9
động sản,9
công thương,9
phân phối,9
giải trí,9
cư trú,9
cây,9
đại dịch,9
covid-19,9
kê khai,9
mỹ phẩm,9
thời gian,9
xăng,9
phong,9
tt-byt,9
suy cử,9
thay thế,9
tập sự,9
dân tộc,8
thiết kế,8
sức khỏe,8
xóa,8
thực vật,8
thủy lợi,8
xuất bản phẩm,8
phục hồi,8
áp dụng,8
chức việc,8
kế hoạch,8
tốt,8
lương,8
lưu hành,8
giá trị,8
chẩn đoán,8
khó khăn,8
tiêu chuẩn,8
tiến hành,8
học tập,8
loại hình,8
pháp lý,8
con nuôi,8
nuôi dưỡng,8
ngày đêm,8
nông thôn,8
mức độ,8
m3,8
vụ việc,8
thi hành,8
còn,8
vị trí,8
cửa hàng,8
thực hành,7
tiếp tục,7
vận hành,7
mở,7
bao gồm,7
phiếu,7
vui chơi,7
bỏ,7
điều lệ,7
bưu chính,7
giảm,7
thi đua,7
tạm thời,7
thiết lập,7
khẩn cấp,7
huấn luyện,7
vùng,7
kết hôn,7
thu nhập,7
vừa,7
giống,7
y khoa,7
xin,7
tài nguyên,7
thanh niên,7
đất đai,7
đáp ứng,7
bầu cử,7
cùng,7
chuyển giao,7
hướng dẫn viên,7
hành khách,7
lễ,7
đại học,7
thông qua,7
nhà trẻ,7
luật sư,7
lớp,7
thi tuyển,7
hộ tịch,7
thất nghiệp,7
chức danh,7
thiệt hại,7
lỗi,7
x-quang,7
xung phong,7
đột xuất,7
hạ tầng,7
nhiễm,7
công việc,7
cạn,7
bảo hiểm,6
nhỏ,6
kiểm soát,6
tổng hợp,6
tác phẩm,6
khai tử,6
hóa học,6
mai táng,6
sửa chữa,6
công vụ,6
mã số,6
giáo viên,6
đại lý,6
liên vận,6
lợi nhuận,6
quy hoạch,6
thanh toán,6
thanh lý,6
chức sắc,6
dân cư,6
phương pháp,6
cai nghiện,6
di sản,6
thông báo danh mục,6
phân hiệu,6
kiến trúc,6
khởi nghiệp,6
bằng khen,6
bức xạ,6
chai,6
vợ,6
thăng,6
sáng tạo,6
đoàn,6
bảo đảm,6
xuất khẩu,6
cổ truyền,6
năng lực,6
chuyển quyền,6
hóa chất,6
sót,6
vận chuyển,6
thú y,6
ma túy,6
trưởng,6
ít,6
dừng,6
hoàn thành,6
chất độc,6
sinh hoạt,6
chính phủ,6
lng,6
thế chấp,6
sai,6
nghiệm thu,6
chi tiết,6
lĩnh vực,6
cng,6
chính sách,6
thôi,5
sư phạm,5
chung,5
kỹ năng,5
khoan,5
mặt,5
tập thể,5
cải tạo,5
thiên tai,5
thành công ty,5
giải viên,5
lễ hội,5
kết luận,5
lương y,5
bệnh nghề nghiệp,5
đề xuất,5
nghĩa vụ,5
công tác,5
nhân viên,5
tin học,5
nghỉ,5
chăn nuôi,5
hoạt động cơ sở,5
anh hùng,5
kiểm định,5
ngoại ngữ,5
bản đồ,5
thông số,5
giám hộ,5
xử lý tài sản,5
đầu tư cấp,5
biện pháp,5
khả thi,5
duy trì,5
đo đạc,5
di tích,5
ban hành,5
tương đương,5
cũ,5
đội,5
cố định,5
quy trình,5
ngang,5
nâng,5
chuyên đề,5
lực lượng,5
công cộng,5
định cư,5
nhận chìm,5
di chuyển,5
lâm,5
tăng,5
bản chính,5
đợt,5
nhằm,5
luồng,5
tranh chấp,5
hạn chế,5
thanh lý tài sản,5
lưu động,5
phát hiện,5
xét nghiệm,5
công an,5
phù hợp,5
điều trị,5
nối,5
chồng,5
tiên tiến,5
kết cấu hạ tầng,5
cơ cấu,5
đề án,5
mang,5
cổ đông,5
tòa án,5
sống,5
tai nạn,4
ảnh hưởng,4
thi đấu,4
thể dục,4
khỏi,4
vay,4
sông,4
chính thức,4
tủ thuốc,4
chữ thập đỏ,4
độc lập,4
sai sót,4
cơ giới,4
cao tốc,4
hiến chương,4
dân tộc thiểu số,4
quân đội,4
lao động tiên tiến,4
chết,4
màu,4
nghệ thuật,4
thờ cúng,4
công chứng viên,4
photocopy,4
khai báo,4
phát điện,4
đình chỉ,4
kcn,4
ký nhận,4
ngắn hạn,4
bệnh nhân đạo,4
phụ lục,4
cờ,4
tỷ lệ,4
đăng ký nhận,4
nhà thuốc,4
dạng,4
nước sạch,4
lấp,4
đậu,4
cơ quan chuyên môn,4
vệ sinh,4
mỹ thuật,4
đề tài,4
lấy,4
hình thành,4
văn bằng,4
hoàn cảnh,4
bản án,4
dược liệu,4
triển khai,4
. xóa,4
chính trị,4
sinh viên,4
danh dự,4
thuộc địa bàn,4
bảo tàng,4
kiểm dịch,4
này,4
dạy,4
ppp,4
giải trình,4
đồng ý,4
nút,4
xả,4
vết thương,4
dấu,4
cổ vật,4
hủy bỏ,4
tuổi,4
tài liệu,4
y học,4
siêu,4
gặp,4
neo,4
thiết yếu,4
lô,4
khuyến mại,4
điều hành,4
cam kết,4
quốc tịch,4
bảo vật,4
công chức,4
bcc,4
đúng,4
quá trình,4
số lượng,4
nguồn gốc,4
lớn,4
loài,4
hội chợ,4
quầy,4
trang thiết bị,4
tặng thưởng,4
công ích,4
chữ ký,4
tu bổ,4
điện áp,4
thuộc địa phương,4
cuộc,4
biến động,4
phúc,3
kiến thức,3
ngoại giao,3
oda,3
tái phát,3
tốt nghiệp,3
xem,3
cao đẳng,3
khóa,3
dinh dưỡng,3
mảnh,3
phường,3
tác động,3
điều dưỡng,3
con đẻ,3
thân thích,3
hoang dã,3
giao đấu,3
thức ăn,3
thư ký,3
bởi,3
hiv,3
phòng khám,3
trường hợp doanh nghiệp,3
chỉ định,3
bắt,3
mô tô,3
nước thải,3
dương tính,3
ban đầu,3
quý,3
lý lịch,3
hoàn lại,3
đăng cai,3
đặc cách,3
những,3
kết hợp,3
cần,3
viện trợ,3
quy chuẩn,3
tiêm,3
sơ cấp cứu,3
bài,3
nhiếp ảnh,3
thủy văn,3
quyền sở hữu tài sản,3
phân chia,3
giải phóng,3
thửa,3
giám định viên,3
khí tượng,3
biểu diễn,3
bất động sản,3
tổ quốc,3
giảng đạo,3
quyên góp,3
bồn,3
thường trú,3
hiếm,3
triệu,3
thuyền viên,3
tổng công ty,3
phân bón,3
khu công nghiệp,3
trại,3
tham dự,3
bảo trợ,3
cảnh báo,3
tổ hợp tác,3
vật tư,3
quốc phòng,3
khảo sát,3
nghèo,3
hiệu đính,3
cách chức,3
bản công bố,3
thủ công,3
đăng ký kết hôn,3
điện ảnh,3
trích lục,3
toàn bộ,3
địch,3
thuyên chuyển,3
khả năng,3
hiệu lực,3
dữ liệu,3
mai táng phí,3
công suất,3
kw,3
thị trấn,3
lâu năm,3
huy chương,3
di dời,3
dự báo,3
tổn thương,3
tính mạng,3
g1,3
bên,3
trần,3
quận,3
thời kỳ,3
hài cốt,3
nguy cấp,3
lít,3
đại hội,3
thị xã,3
lãnh đạo,3
miễn giảm,3
uỷ ban nhân dân,3
thuế,3
thông thường,3
huân chương,3
kề,3
nhà tu hành,3
kéo,3
ổn định,3
cập nhật,3
bị thương,3
tuyển chọn,3
khẳng định,3
tthc,3
giải thưởng,3
chịu,3
phụ trách,3
tận thu,3
lâu,3
cận,3
du học,3
may rủi,2
học phí,2
điều khiển,2
karaoke,2
xác thực,2
xem xét,2
xuất xứ,2
mù chữ,2
chú,2
trang trại,2
thường niên,2
công-ten-nơ,2
siêu thị,2
năng khiếu,2
theo dõi,2
văn hoá,2
taxi,2
bãi nhiệm,2
công nghệ cao,2
học bổng,2
câu lạc bộ,2
nhuyễn thể,2
họp báo,2
bổ túc,2
giao kết,2
nhiên liệu,2
lưu trữ,2
máy in,2
tuyên truyền viên,2
chỉnh hình,2
dịch chuyển,2
35 kv,2
nguy cơ,2
đất liền,2
hàng hải,2
g4,2
tù,2
văn minh,2
rút,2
giúp đỡ,2
công chứng nhận,2
bố trí,2
chở,2
liên đoàn,2
ý kiến,2
nghĩa trang,2
đền bù,2
quyển,2
vật thể,2
thời điểm,2
địa chất,2
hiệp định,2
thuốc nổ,2
muối,2
sơ mi,2
phim,2
xét duyệt,2
dịch thuật,2
mini,2
đăng ký kết quả,2
hội nghị,2
chính xác,2
khen thưởng,2
phát sinh,2
dân lập,2
chôn,2
cụm,2
rơ moóc,2
dụng cụ,2
khôi phục,2
bỏ quên,2
chế phẩm,2
gọi,2
giây,2
một số,2
trận,2
bản tin,2
công ước,2
côn trùng,2
tiêm chủng,2
đánh dấu,2
chế biến,2
biên bản,2
người mẫu,2
lợi ích,2
truyền hình,2
chuỗi,2
rà soát,2
phao,2
bến xe khách,2
sinh học,2
xe buýt,2
phơi,2
đối ngoại,2
đính chính,2
siêu trọng,2
phân bổ,2
nguyện vọng,2
thần,2
con người,2
súng,2
xác lập,2
xảy,2
rất,2
đày,2
dễ,2
nhà máy,2
gia công,2
di vật,2
đồ án,2
g2,2
phát hành,2
nhà thầu,2
thu hoạch,2
bãi tập kết,2
cơ thể,2
pháp nhân,2
lựa chọn,2
người đẹp,2
nhân lực,2
tuất,2
bằng chứng,2
nổ mìn,2
chung cư,2
tiếng,2
tuyển sinh,2
hành lý,2
cờ hiệu,2
cải chính,2
ăn uống,2
đầu cơ quan,2
chủ sở hữu tài sản,2
ent,2
tình hình,2
phụ cấp,2
xếp hạng,2
vùi,2
g3,2
gia dụng,2
đơn lẻ,2
thủ tướng,2
xe gắn máy,2
điều chuyển,2
tự nhiên,2
xác minh,2
cây xanh,2
miễn nhiệm,2
tương lai,2
quên,2
tư cách,2
giờ,2
đặt hàng,2
đối ứng,2
giấu,2
siêu trường,2
xung kích,2
đánh rơi,2
thương tật,2
chiến tranh,2
mw,2
thù lao,2
hiệu trưởng,2
phòng chống,2
lực lượng vũ trang,2
môi giới,2
mua sắm,2
phà,2
biểu mẫu,2
hội đồng quản trị,2
thêm,2
an táng,2
làm chủ sở hữu,2
lặn,2
tên gọi,2
màu sắc,2
phổ cập,2
phân loại,2
hoà xá,2
dự toán,2
gia truyền,2
pháp lệnh,2
dựa,2
sửa lỗi,2
nước biển,2
hòa nhập,2
làng nghề,2
lưỡi,2
tính năng,2
attp,2
khách quan,2
phù hiệu,2
san lấp,2
thị trường,2
hủy hoại,2
thử nghiệm,2
lắp,2
mặt bằng,2
cộng tác viên,2
can thiệp,2
vệ tinh,2
sát hạch,2
hằng,2
sáng tác,2
nhân văn,2
thương lượng,2
chặt hạ,2
truyền thống,2
ngầm,2
định lượng,2
thô sơ,2
gỗ,2
điểm chỉ,2
khuẩn,2
nội trú,2
hưu,2
tập đoàn,2
nghiệp vụ,2
chuyên gia,2
phổ biến,2
ứng phó,2
tiềm ẩn,2
mời,2
hải đảo,2
diệt,2
niêm yết,2
tiện lợi,2
mục tiêu,2
quan sát,2
vỏ,2
gửi,2
tín hiệu,2
nằm,2
chìm đắm,2
cải hoán,2
bản thân,2
an ninh,2
gđyk,2
tài chính,2
vũ trường,2
bệnh binh,2
thực địa,1
tai biến,1
thấy,1
tổn hại,1
xích,1
khai quật,1
mẫu vật,1
nợ,1
khung,1
trữ lượng,1
ghi hình,1
mẹ kế,1
tàu thủy,1
kê biên,1
xe cơ giới,1
trao đổi,1
kéo dài,1
phục vụ việc,1
tìm,1
tưới,1
dích,1
hiệu ứng,1
ngẫu nhiên,1
tác dụng,1
cfs,1
từ chối,1
nghỉ việc,1
huỷ hoại,1
bóc lột,1
điêu khắc,1
vẫn,1
tiền lương,1
nhân giống,1
ngư nghiệp,1
atvstp02,1
tiêu huỷ,1
phẫu thuật,1
lý do,1
đối tác,1
hạ du,1
xuất sắc,1
cơ quan thuế,1
thể loại,1
bất khả kháng,1
mạng điện tử,1
trung bình,1
thẩm mỹ,1
buộc tội,1
giải mã,1
nặng,1
hoãn,1
cháy,1
tiêu thụ,1
cắm mốc,1
billiards,1
ruột,1
quần vợt,1
vovinam,1
núi,1
vũ khí,1
mặt đất,1
công năng,1
cát,1
chạy,1
gpmb,1
bôi trơn,1
đấu kiếm,1
yoga,1
quá khổ,1
phiên hiệu,1
thí điểm,1
quân sự,1
nhập cảnh,1
may mặc,1
tiết kiệm,1
sức lao động,1
hy sinh,1
cấp số,1
nhà đất,1
chuẩn bị,1
khơi thông,1
phúc khảo,1
đập,1
dưỡng thai,1
bố mẹ,1
patin,1
tàu biển,1
tần suất,1
chủ quản,1
thuỷ lợi,1
phạm vi hành lang,1
taekwondo,1
lâm sản,1
uỷ quyền,1
diều,1
tố tụng,1
nhiệm kỳ,1
nhà hộ sinh,1
golf,1
đạo cụ,1
nghị quyết,1
rừng,1
trực tuyến,1
rủi ro,1
an toàn lao động,1
cây ăn quả,1
báo hiệu,1
gần,1
tuc,1
trạm xá,1
phân cấp,1
xếp loại,1
m2,1
hơn,1
khiêu vũ,1
sỏi,1
danh nhân,1
tham vấn,1
cách ly,1
hải lý,1
tạp chí,1
sát nhập,1
vũ đạo,1
trở về,1
tem,1
cậu,1
lãnh tụ,1
phim hoạt hình,1
chuyển tiếp,1
leo,1
danh bạ,1
nâng cấp,1
cựu chiến binh,1
phối hợp,1
fitness,1
tỉnh thành phố,1
phim tài liệu,1
ứng dụng,1
bóng ném,1
toàn quốc,1
tổ dân phố,1
bắt buộc,1
công nhân,1
thuốc phiện,1
bóng rổ,1
liên hoan,1
miền,1
chiến sĩ thi đua,1
ttbyt_01,1
biên giới,1
xin phép,1
nhìn,1
quốc dân,1
karate,1
khấu trừ,1
chứng khoán,1
quyền sở hữu toàn dân,1
nhân thân,1
đồ dùng,1
đầu tư sản xuất,1
quan trắc,1
hoàn thiện,1
trưa,1
chuyên nghiệp,1
lao động-thương binh,1
văn kiện,1
bóng bàn,1
quyết toán,1
nạo vét,1
sxtn,1
bỏ rơi,1
atvstp01,1
mức sống,1
lâp,1
thể hình,1
phụ thuộc,1
duy nhất,1
ươm,1
kết thúc,1
chủ lực,1
bắn,1
tước,1
nông lâm,1
lâm nghiệp,1
thai,1
không thể,1
vượt trội,1
cây trồng,1
di động,1
judo,1
sưu tầm,1
vô địch,1
từng,1
dệt may,1
cảo,1
dự kiến,1
hưu trí,1
bè,1
nội quy,1
chuyên khoa,1
vườn,1
mỡ,1
khuôn khổ,1
luồng lạch,1
viễn thông,1
cơ sở vật chất,1
cites,1
mỏ,1
lồng,1
vận động,1
bác,1
giới thiệu,1
bảng,1
bay,1
loại hình thành,1
quyền anh,1
quyết định giá,1
máy chủ,1
thủ trưởng,1
di chúc,1
sạt lở,1
lân,1
bệnh viện,1
biệt thự,1
đứng,1
thầm,1
khuyến khích,1
xâm hại,1
thực tập,1
chung quy định,1
lưu trú,1
tiền tuất,1
thất lạc,1
nhờ,1
bơi,1
sơ tuyển,1
hoàn trả,1
nữ,1
khxh,1
khuôn viên,1
hội đồng bộ trưởng,1
nghiêm ngặt,1
thép,1
lao động đào tạo,1
internet,1
khoáng sản vật liệu,1
xóm,1
ưu tiên,1
gạo,1
bất thường,1
trung gian,1
ly hôn,1
vật phẩm,1
nhân sự,1
đa khoa,1
vinh dự,1
dòng,1
nhựa,1
hộ khẩu,1
lưu giữ,1
cha dượng,1
chất thải,1
cháu,1
atvstp03,1
đa dạng sinh học,1
suy giảm,1
giám sát,1
giường bệnh,1
dược chất,1
sỹ,1
bt,1
tổ trưởng,1
cơ quan hành chính,1
trung quốc,1
bày,1
bảo lưu,1
chỉ giới,1
nội đồng,1
đtm,1
wushu,1
khcn,1
văn hoá phẩm,1
trợ giá,1
thành niên,1
lúa,1
gms,1
hàng hoá,1
độc giả,1
sáng lập,1
hiện vật,1
kim khí,1
bảo tồn,1
bóng đá,1
trường hợp giao,1
tình huống,1
tài trợ,1
bộ trưởng,1
quá tải trọng,1
sxkd,1
khối lượng,1
bào chế,1
kênh,1
khách sạn,1
quay,1
sáng kiến,1
nộp,1
xuất cảnh,1
tài viên,1
ttbyt_02,1
chứng thực tài liệu,1
con riêng,1
ttbyt_03,1
căn hộ,1
thay thế thủ tục,1
cầu lông,1
tình trạng,1
snooker,1
hôn nhân,1
thoát,1
chứa,1
bánh,1
diêm nghiệp,1
công khai,1
liên doanh,1
ngƣời,1
kệ,1
tổng thể,1
băng-rôn,1
cây công nghiệp,1
vô tính,1
nv,1
hệ thống,1
ít nhất,1
giới hạn,1
dì,1
tố cáo cấp,1
công cụ,1
qđ-bxd,1
chi trả,1
súng săn,1
hội thảo,1
quan hệ,1
thăm viếng,1
công tư,1
nghe,1
cchnd,1
phá sản,1
căm –,1
tại ngũ,1
asean,1
trống,1
võ,1
ngạch,1
mở rộng,1
quân dụng,1
tổng số,1
chưc,1
chép,1
trưng,1
sáng chế,1
tiêu hủy,1
đọc,1
tự do,1
tạm ứng,1
phương thức,1
khoa học xã hội,1
thừa kế,1
án tích,1
truy tặng,1
phim truyện,1
81 %,0
"0,4 kv",0
